start,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,PlateScale.Reference,CalReference,Cal.Set.002,ColCheck,Cal.Set.001,Dilution2,Set002.H4.OD12.dup,Set002.H3.OD18,Set002.H2.OD12,Set002.H1.OD6,Set002.G4.Cal160378,Set002.G3.QC170255,Set002.G2.YD12.dup,Set002.G1.YD6,Set002.F4.YD12,Set002.F3.YD18,Set002.F1.QC170255,Set002.E4.PD7.dup,Set002.E3.OD16,Set002.E2.OD10,Set002.E1.OD4,Set002.D4.PD6.dup,Set002.D3.YD16,Set002.D2.YD10,Set002.D1.YD4,Set002.C4.Cal160378,Set002.C3.Cal160378,Set002.C2.OD8,Set002.C1.OD2,Set002.B4.OD20,Set002.B3.OD14,Set002.B2.Cal160378,Set002.B1.Cal160378,Set002.A4.YD20,Set002.A3.YD14,Set002.A2.YD8,Set002.A1.YD2,Set001.H4.OD11.dup,Set001.H3.OD17,Set001.H2.OD11,Set001.H1.OD5,Set001.G4.Cal160378,Set001.G3.QC170255,Set001.G2.YD11.dup,Set001.G1.YD5,Set001.F4.YD11,Set001.F3.YD17,Set001.F1.QC170255,Set001.E4.PD7,Set001.E3.OD15,Set001.E2.OD9,Set001.E1.OD3,Set001.D4.PD6,Set001.D3.YD15,Set001.D2.YD9,Set001.D1.YD3,Set001.C4.Cal160378,Set001.C3.Cal160378,Set001.C2.OD7,Set001.C1.OD1,Set001.B4.OD19,Set001.B3.OD13,Set001.B2.Cal160378,Set001.B1.Cal160378,Set001.A4.YD19,Set001.A3.YD21,Set001.A2.YD7,Set001.A1.YD1
STUB1.10336.3.3,10336-3_3,SL019100,E3 ubiquitin-protein ligase CHIP,CHIP,Q9UNE7,10273,STUB1,Human,RFU,Protein,40,1847.6,1847.6,1.439,FLAG,1.421,0.4,7.26491169307446,7.87344411251538,7.05093696522523,6.54689445988764,10.9498996459752,8.7262181593322,7.13545278418517,7.2045711442492,7.10223819393074,9.46127479517703,8.60139939053183,7.37764435839991,7.81826260830447,7.21916852046216,6.82145511910246,7.24982454861618,10.6442168184582,7.0639343057541,6.37503943134692,10.8514367359617,10.7580566121466,7.18685706717715,6.51096191927738,7.25266543245025,7.10643207781693,10.9323624102297,10.7210137184598,7.15279185163912,7.45697038112101,7.33628338786443,6.85549144310187,6.9413411054853,7.19377174339668,6.85424505422013,6.67948009950545,10.8533095554037,8.71561885907482,6.7983097824546,7.01680828768655,6.69627208392586,6.76818432477693,8.69835740595729,7.36544758855011,7.72451385311995,6.89965902637744,6.90689059560852,7.27891401949994,10.00253376109,6.79441586635011,7.09697863637054,10.8514367359617,10.6916562919249,7.64457735701838,6.33806779754262,7.12928301694497,6.44956137461324,10.9153565685235,10.7026056021102,6.76022094646651,6.40258575823259,7.0948694327187,6.63081315229913
CEBPB.10337.83.3,10337-83_3,SL007136,CCAAT/enhancer-binding protein beta,CEBPB,P17676,1051,CEBPB,Human,RFU,Protein,40,584.4,584.4,1.408,FLAG,1.429,0.4,10.1449131134342,6.80992886572143,9.91811785103177,6.62643913669732,9.45471055218622,9.20628180173535,7.08108392868763,7.0574502721839,7.13750352374993,6.85049941375812,9.06339508128851,7.05419729438881,6.97727992349992,7.2336196767597,6.656782364219,7.25266543245025,6.83668159332712,7.04657836662033,6.55918586578773,9.19081236791614,9.11894107272351,7.18586654531133,6.83289001416474,6.79311555527435,7.02458563827827,9.22881869049588,9.02458563827827,7.23935985027747,7.14567745519564,7.09803208296053,6.66391384211598,7.30012372456901,7.12825215227739,7.23266075679027,7.38715571766298,9.27705487614873,9.26982798113563,7.02236781302845,6.96693797927846,6.93899143877554,6.85798099512757,9.24579036296339,7.03782146543497,7.09803208296053,7.17891378466957,6.74550626586916,7.19967234483636,7.14567745519564,6.96231765494231,7.28540221886225,9.19081236791614,9.16917340202917,6.64529816394863,6.75355105460065,7.18883607303053,6.97613447283165,9.25573675687748,9.04548665635946,6.88264304936184,7.06501215043695,6.82781902461732,6.72246602447109
ENO2.10339.48.3,10339-48_3,SL001731,Gamma-enolase,NSE,P09104,2026,ENO2,Human,RFU,Protein,40,17682.3,17682.3,0.91,PASS,1.016,0.4,12.2320011293935,12.8485055797687,12.2326607567903,13.0077981806841,13.9910877676593,13.253522517075,11.8544009117302,12.3516846391133,11.8573201267681,11.9260364939187,13.2692728118455,12.4853010286612,12.3821376428964,11.9937168133106,12.2329005465425,12.5405397631658,12.0002817488615,12.3573320648294,12.3129113098611,13.9594314767587,14.1100183229881,12.7579524757632,12.5859249155871,12.5570328391444,12.2767060198924,14.1105648710024,14.1409256064987,12.0689126008793,12.2139547578639,12.3213362431153,11.9109799444427,11.996226309819,12.5173495191919,12.1290253698256,12.0851072577514,13.9971883036543,13.3920490393642,12.4469282005053,12.5275991803452,12.3329036955074,12.3437131633949,13.4292367257357,12.4889196417284,12.9990134454472,12.5881290073863,12.8671821963937,12.6367152392454,12.4888945437413,12.1339449137182,12.1818044908862,14.0610167200583,14.1100183229881,13.4737691578181,12.8309706812803,12.7877597516267,12.0541294459612,14.2765533687501,14.2313412002646,12.1477455162331,12.6042288873795,11.9916635576853,12.2467405984931
PIAS4.10342.55.3,10342-55_3,SL019096,E3 SUMO-protein ligase PIAS4,PIAS4,Q8N2W9,51588,PIAS4,Human,RFU,Protein,40,491.8,491.8,2.587,FLAG,2.46,0.4,8.79506558265962,6.97384083953315,8.54109661534952,6.79051141189419,9.36172450250739,8.63698706120399,7.40258575823259,6.92599941855622,7.52277766952458,7.04657836662033,8.4966540825935,6.96231765494231,8.45573818599339,8.55918586578773,6.64529816394863,7.04330075436418,6.992088609014,7.36194377373524,6.8008998999203,8.94192792470872,8.80928581019891,7.34163000932991,6.87897051015108,7.18883607303053,7.04657836662033,9.02153524878054,8.68860001099912,7.13955135239879,6.90086680798075,7.08533966935737,6.67101024127845,7.4487357980294,7.04330075436418,7.31197531446116,7.79376585730965,8.99717948093762,8.66426949231891,7.4446008137115,6.94016675048282,7.31922050252387,7.08852325661663,8.53138146051631,7.10852445677817,6.97956810009519,7.4846215270986,6.93428059364002,7.07253459972295,7.1568415245884,7.12928301694497,8.25077213159993,8.94192792470872,8.88965605819216,7.03452387533439,6.97384083953315,7.18586654531133,7.21042783040149,8.9915218460757,8.59507095419544,7.12412131182919,7.15886210620845,7.4586116725846,6.75488750216347
IL10RA.10344.334.3,10344-334_3,SL005173,Interleukin-10 receptor subunit alpha,IL-10 Ra,Q13651,3587,IL10RA,Human,RFU,Protein,1,1262.8,1262.8,1.068,PASS,1.034,0.01,9.04001567884788,8.60177078840771,9.1106138055009,8.67912817974742,10.3024104504256,10.3299084313827,8.67701485655572,8.56757586852411,8.65535182861255,8.60362634498619,10.3253054550897,8.45079885435249,8.50024436658881,8.55727222306003,9.0427537609772,8.68509917200661,8.56757586852411,8.69104555348718,8.57288966842058,10.272979628176,10.3062895853361,8.78135971352466,8.75888943272096,8.56338696616201,8.67348575733779,10.3066313617125,10.2850553754801,8.76950729143624,8.80960737378898,8.38284014447524,8.32373033752135,8.6667565918848,8.61985314739117,8.66070903878206,8.6614218327891,10.3203492836165,10.1809037091794,8.53915881110803,8.27937843123448,8.53915881110803,8.43045255166553,10.2706457361505,8.28447711781042,8.49305484153943,8.59507095419544,8.37634248280467,8.48623167798101,8.62168560672668,8.67348575733779,8.73267622307331,10.1574732603961,10.3176387237945,8.3019533951261,8.43295940727611,8.53060141451683,8.54766574835342,10.2782171214713,10.3024104504256,8.47897180503294,8.60325542454685,8.31741261376487,8.56033283421244
STAT3.10346.5.3,10346-5_3,SL007221,Signal transducer and activator of transcription 3,STAT3,P40763,6774,STAT3,Human,RFU,Protein,1,517.4,517.4,1.051,PASS,0.984,0.01,6.32732808262995,6.36457243229586,6.33091687811462,6.21334728173344,9.06231602735572,7.3819754785573,6.10223819393074,5.91408609701272,5.98185265328974,6.19967234483636,7.37330019660839,7.17392693199981,6.76022094646651,5.85549144310187,6.24982454861618,6.43128865429159,5.84046323386954,6.25738784269265,6.04220656012069,9.00534384191779,9.01513624379738,6.09803208296053,6.83541884047548,5.92599941855622,6.7983097824546,8.99661471481536,9.02125762056052,6.55918586578773,5.8073549220576,6.04657836662033,5.95419631038687,5.99322146736894,6.05528243550119,6.02901108665907,5.79960542245267,9.01457846492289,7.29462074889163,6.13134253912326,6.32553033156756,5.98641093525204,6.04439411935845,7.32102612859297,7.16691625156997,6.22881869049588,6.12308675098106,6.05528243550119,6.43462822763672,5.82017896241519,6.04001567884788,6.07253459972295,9.02762959173316,9.01513624379738,6.19179950106508,6.05093696522523,5.81506301719287,5.85798099512757,8.99887245399428,9.1168637576909,6.18189764310839,6.0639343057541,6.19574129324645,5.93073733756289
IRF1.10351.51.3,10351-51_3,SL007108,Interferon regulatory factor 1,IRF1,P10914,3659,IRF1,Human,RFU,Protein,40,857.3,857.3,1.368,PASS,1.313,0.4,9.50521609609692,8.49145229203737,9.40407713624123,8.23553560671046,9.96564000794404,10.3608470841797,8.06608919045777,8.23218105768664,8.00618579994629,7.82591279878497,10.2623297928572,8.13082793414513,8.01457846492289,8.35799178363106,13.2161850378974,8.59357786734457,7.74348803978919,9.13416959007684,9.9413411054853,9.74365633317414,9.7323370447384,8.30012372456901,8.20847824221171,8.9005649573591,11.2304408101456,9.76121877592938,9.67578065357349,8.09592441999854,8.30879406721648,9.01569380710515,7.96405201104085,8.47208155013361,9.52767247995012,8.4890451251148,8.28355142317431,9.74365633317414,10.3428524910461,8.12153351734003,8.24126817732937,8.03562390973072,8.22110372536788,10.281350514981,8.18883607303053,8.17891378466957,8.17342729734862,10.351160098022,8.56795607541547,8.05202456048283,8.14923903883703,8.44211412241923,9.74483383749955,9.72451385311995,8.33002051583608,8.04984854945056,8.76917666348914,8.3544697921574,9.74668226189191,9.71921767258897,10.3145832442742,8.08108392868763,8.2240016741981,7.97785230797118
JUN.10356.21.3,10356-21_3,SL000455,Transcription factor AP-1,c-Jun,P05412,3725,JUN,Human,RFU,Protein,40,960.1,960.1,1.347,FLAG,1.449,0.4,8.12463831417871,7.73335434061383,8.05799172275918,7.80671071796524,9.94895120044142,10.9376680676011,7.91767043436176,7.98071082890019,7.97211821838414,7.88630626345243,10.8646504567457,7.86108690599539,7.98013957763916,8.38111029409905,8.00954872697226,8.12825215227739,7.74819284958946,7.9898202201176,7.70804925170222,9.90704086851537,9.87590290312484,8.34473974580299,7.88691589584725,7.78920757534734,7.90388184573618,9.90764180366553,9.88462844485133,8.14414836650889,8.00337736020232,8.1106138055009,7.73674015545321,8.14669594803066,7.82972273508606,8.16339809435316,7.8923910259134,9.88798213305845,11.0023227842136,7.73809225962049,7.86046625851717,7.70182625841205,7.7488637145357,10.9809963697306,7.72383156649532,8.42794133250948,7.87467403163581,7.72587745912023,7.94485844580754,7.99943633715208,7.67666233485797,8.15633593669436,9.83857365266832,9.9316239677501,7.45697038112101,7.64529816394863,7.79701297783614,7.90207357931074,9.91632735121661,9.90704086851537,7.64745842645492,7.96866679319521,8.25408377931942,8.13647851834917
MCL1.10358.33.3,10358-33_3,SL003755,Induced myeloid leukemia cell differentiation protein Mcl-1,Mcl-1,Q07820,4170,MCL1,Human,RFU,Protein,40,650,650,1.204,PASS,1.189,0.4,8.11738336693148,7.13955135239879,7.98071082890019,9.22158712126481,9.37872835803081,8.95913257678966,7.10328780841202,7.35491051158679,7.11582397743624,7.1168637576909,8.95971220517869,6.92599941855622,7.50541460934675,7.13237119873254,7.62789861587175,7.27798474729977,7.07895134139482,8.1006623390052,7.19179950106508,9.34429590791582,9.35887093968562,7.13852780142227,7.30742852519225,7.25833047261243,7.5352753766208,9.26068435637966,9.34274139913981,7.35755200461808,7.41616416473313,7.1106138055009,6.95884267524324,7.59395128394841,7.32822611878773,7.58345891013077,7.59544398458948,9.3262047507653,8.977566144122,6.84423498775875,7.22013644739608,6.81378119121704,7.17092652528738,8.97240546478447,7.00898878322726,8.09855851793841,7.45038647903429,7.22496636500027,7.30651744524982,7.04875931191986,7.16992500144231,7.9242186797485,9.36325870170799,9.3524848869497,7.33360262826828,7.26491169307446,7.46025109894385,7.61397358738023,9.3228294976289,9.34429590791582,7.02790599656988,7.36457243229586,7.15886210620845,7.13955135239879
OAS1.10361.25.3,10361-25_3,SL014684,2'-5'-oligoadenylate synthase 1,OAS1,P00973,4938,OAS1,Human,RFU,Protein,40,522.6,522.6,1.045,PASS,1.04,0.4,6.50303064564116,5.77082904603249,6.33628338786443,9.56833618213375,9.05717947067379,7.95419631038687,6.02901108665907,5.94016675048282,5.98185265328974,6.15380533607904,7.92005505480697,5.92837032301897,5.87282875953489,6.18388345903223,6.06824086131282,6.456149034648,6.08746284125034,6.18982455888002,6.02014657311178,9.02956331443266,9.04957631715597,6.02680005934372,6.22689381357139,6.1333991254172,6.08321336824898,8.98697970917658,9.00281501560705,7.86789646399265,5.97498811199193,5.96116025813664,6.05961485629722,6.13750352374993,5.97498811199193,6.16390121381454,6.60584986719498,9.02956331443266,7.84987419379562,6.10852445677817,6.00450139223494,6.1106138055009,6.4446008137115,7.84737060090548,6.18586654531133,6.10223819393074,6.14363830992204,6.16791986555194,6.44790974874208,5.90207357931074,5.95884267524324,7.11478344724985,9.05772102287267,9.04657836662033,8.58796498888268,6.25171909260596,5.95419631038687,6.2364926183813,9.00168966840421,8.98726401207254,6.18982455888002,6.01792190799726,9.64403651538472,6.18586654531133
